,lkmin,lkmax,ltmin,ltmax
72,-125.0,218.0,-66.0,157.0
73,-119.0,340.0,-54.0,185.0
74,-127.0,265.0,-64.0,218.0
75,-205.0,296.0,-166.0,316.0
76,-123.0,174.0,-55.0,153.0
77,-109.0,186.0,-81.0,165.0
78,-149.0,324.0,-58.0,269.0
79,-160.0,330.0,-86.0,158.0
80,-211.0,270.0,-136.0,419.0
81,-128.0,210.0,-41.0,190.0
82,-196.0,305.0,-136.0,236.0
83,-144.0,211.0,-77.0,196.0
84,-66.0,192.0,-46.0,167.0
85,-196.0,1577.0,-75.0,476.0
86,-139.0,237.0,-80.0,199.0
87,-183.0,324.0,-122.0,223.0
88,-123.0,202.0,-81.0,899.0
89,-189.0,287.0,-143.0,232.0
90,-115.0,205.0,-49.0,163.0
91,-162.0,245.0,-110.0,177.0
92,-159.0,496.0,-98.0,332.0
93,-139.0,331.0,-58.0,309.0
94,-188.0,857.0,-113.0,397.0
95,-123.0,181.0,-50.0,158.0
96,-135.0,216.0,-95.0,194.0
97,-167.0,424.0,-120.0,338.0
98,-105.0,213.0,-61.0,204.0
99,-113.0,259.0,-65.0,264.0
100,-104.0,735.0,-55.0,185.0
101,-120.0,184.0,-107.0,508.0
102,-190.0,409.0,-132.0,347.0
103,-612.0,957.0,-493.0,1226.0
104,-191.0,396.0,-131.0,347.0
105,-166.0,378.0,-139.0,217.0
106,-190.0,1565.0,-170.0,1580.0
107,-197.0,584.0,-116.0,402.0
108,-150.0,242.0,-77.0,214.0
109,-127.0,262.0,-72.0,233.0
110,-128.0,191.0,-39.0,139.0
111,-121.0,205.0,-87.0,198.0
112,-135.0,183.0,-75.0,160.0
113,-157.0,1311.0,-95.0,447.0
114,-144.0,214.0,-57.0,169.0
115,-177.0,734.0,-93.0,291.0
116,-168.0,549.0,-106.0,216.0
117,-103.0,450.0,-57.0,152.0
118,-235.0,442.0,-154.0,421.0
119,-190.0,1468.0,-126.0,447.0
120,-222.0,1298.0,-130.0,427.0
121,-176.0,775.0,-109.0,191.0
122,-247.0,416.0,-204.0,364.0
123,-229.0,478.0,-105.0,346.0
124,-114.0,303.0,-49.0,186.0
125,-144.0,333.0,-77.0,226.0
126,-179.0,398.0,-105.0,335.0
127,-137.0,856.0,-72.0,204.0
128,-125.0,148.0,-56.0,136.0
129,-142.0,227.0,-102.0,183.0
130,-186.0,258.0,-78.0,216.0
131,-163.0,315.0,-93.0,268.0
132,-120.0,264.0,-41.0,224.0
133,-113.0,438.0,-63.0,250.0
134,-125.0,334.0,-77.0,309.0
135,-191.0,384.0,-113.0,265.0
136,-132.0,274.0,-115.0,246.0
137,-128.0,193.0,-86.0,163.0
138,-181.0,453.0,-158.0,1042.0
139,-133.0,208.0,-60.0,181.0
140,-115.0,276.0,-83.0,139.0
141,-144.0,458.0,-79.0,235.0
142,-182.0,523.0,-103.0,553.0
143,-174.0,397.0,-78.0,226.0
144,-164.0,438.0,-95.0,450.0
145,-152.0,712.0,-76.0,223.0
146,-123.0,200.0,-246.0,171.0
147,-112.0,127.0,-76.0,125.0
148,-148.0,383.0,-94.0,187.0
149,-164.0,269.0,-74.0,219.0
150,-114.0,211.0,-59.0,191.0
151,-167.0,331.0,-161.0,294.0
152,-156.0,362.0,-92.0,246.0
153,-1023.0,3071.0,-205.0,476.0
154,-133.0,277.0,-55.0,187.0
155,-175.0,284.0,-74.0,210.0
156,-209.0,291.0,-129.0,222.0
157,-202.0,422.0,-101.0,180.0
158,-223.0,461.0,-102.0,231.0
159,-185.0,719.0,-136.0,284.0
160,-190.0,465.0,-130.0,263.0
161,-128.0,1202.0,-71.0,244.0
162,-89.0,242.0,-47.0,200.0
163,-111.0,255.0,-73.0,228.0
164,-120.0,231.0,-48.0,191.0
165,-194.0,300.0,-79.0,175.0
166,-136.0,248.0,-55.0,226.0
167,-121.0,258.0,-51.0,221.0
168,-130.0,367.0,-82.0,262.0
169,-102.0,179.0,-53.0,180.0
170,-167.0,283.0,-92.0,213.0
171,-121.0,224.0,-61.0,209.0
172,-107.0,210.0,-106.0,320.0
173,-132.0,235.0,-50.0,140.0
174,-110.0,195.0,-53.0,171.0
175,-160.0,226.0,-51.0,186.0
176,-138.0,167.0,-89.0,115.0
177,-121.0,242.0,-45.0,208.0
178,-96.0,197.0,-76.0,169.0
179,-133.0,251.0,-66.0,198.0
180,-126.0,212.0,-64.0,191.0
181,-154.0,319.0,47.0,269.0
182,-195.0,1296.0,-133.0,273.0
183,-158.0,308.0,-105.0,294.0
184,-151.0,357.0,-119.0,203.0
185,-113.0,189.0,-69.0,174.0
186,-118.0,240.0,-92.0,211.0
187,-141.0,298.0,-67.0,195.0
188,-122.0,183.0,-65.0,183.0
189,-142.0,259.0,-68.0,215.0
190,-269.0,348.0,-141.0,276.0
191,-122.0,202.0,-92.0,269.0
192,-151.0,323.0,-85.0,182.0
193,-111.0,210.0,-51.0,144.0
194,-121.0,214.0,-64.0,209.0
195,-134.0,1227.0,-84.0,764.0
196,-133.0,149.0,-79.0,126.0
197,-134.0,326.0,-64.0,281.0
198,-142.0,266.0,-89.0,240.0
